player_id,player_name,team,rushing_yds,receptions,receiving_yds,fumbles,touchdowns
c6938e95-e8cd-4975-a0e0-ef6aa9b207f6,Josh Johnson,SEA,0,0,0,0,0
260e8f87-1d08-4c69-8e2b-afa825c1a68a,J.D. McKissic,WAS,85,24,159,0,0
697200ea-cabb-40b8-aeac-e52763310306,Jonathan Williams,WAS,54,0,0,0,0
795f636e-6f7f-4bc7-a346-2862272abead,Brian Robinson,WAS,82,0,0,0,1
82996e3b-b72d-41ca-8eb1-91e462ceff85,Jaret Patterson,WAS,0,0,0,0,0
c0a8a5d0-583f-457a-9d96-70027d3f69e7,Antonio Gibson,WAS,214,19,152,0,2
33b0227d-4c21-4e71-b4cd-be35f7db9123,Tony Pollard,DAL,292,9,79,0,2
7caf1f90-d30d-11ec-8b77-45b1765fd110,Malik Davis,DAL,0,0,0,0,0
bba755a2-63b6-4ac1-b806-0609816135de,Rico Dowdle,DAL,0,0,0,0,0
bef8b2b4-78bd-4a4d-bb5d-6b55ada9ef6a,Ezekiel Elliott,DAL,386,6,32,0,2
c44534f8-a567-40e7-b51e-1a72c49cb24e,Qadree Ollison,DAL,0,0,0,0,0
51b7cde0-ce18-11ec-bebb-4fec1e38b0e5,Kennedy Brooks,PHI,0,0,0,0,0
768f6afa-ba24-40d9-bdc1-3184bba2ec2b,Boston Scott,PHI,45,1,2,0,1
b7146193-fcd1-4b02-a6da-625fe467f60e,Trey Sermon,PHI,19,0,0,0,0
e2a5882a-dcc1-4800-889f-3b957b21834f,Kenneth Gainwell,PHI,97,4,21,0,2
ef3ceaf4-b733-4e06-a7f4-a94fc67361c1,Miles Sanders,PHI,485,11,42,0,4
6249d2c0-75dc-4586-943b-1c103a9eb419,Matt Breida,NYG,49,4,30,0,0
94bde2c7-7229-4bf0-a545-5950cf3c7927,Gary Brightwell,NYG,19,0,0,0,1
9811b753-347c-467a-b3cb-85937e71e2b9,Saquon Barkley,NYG,616,21,155,1,4
a75efc5b-a4fc-4da4-8684-d170a0c40b81,Sandro Platzgummer,NYG,0,0,0,0,0
f75439c0-d3bb-11ec-96a0-c3471a31202c,Jashaun Corbin,NYG,0,0,0,0,0
02af99e0-3c84-4d4e-937a-a9f29a02323b,Khalil Herbert,CHI,402,5,37,0,3
17533bb8-99e4-4cb7-bd9c-268b62efac48,Trestan Ebner,CHI,43,2,8,2,0
1c9e1cd5-8cb1-4a15-a2c8-3a0c0fd5423c,David Montgomery,CHI,246,10,113,0,1
